,Twitter users (in million),Facebook users (in million),Instagram users (in million)
Q1 2010,30,431,0
Q2 2010,40,482,0
Q3 2010,49,550,0
Q4 2010,54,608,0
Q1 2011,68,680,0
Q2 2011,85,739,0
Q3 2011,101,800,0
Q4 2011,117,845,0
Q1 2012,138,901,0
Q2 2012,151,955,0
Q3 2012,167,1007,0
Q4 2012,185,1056,0
Q1 2013,204,1110,190
Q2 2013,218,1155,130
Q3 2013,232,1189,130
Q4 2013,241,1228,150
Q1 2014,255,1276,200
Q2 2014,271,1317,230
Q3 2014,284,1350,230
Q4 2014,288,1393,300
Q1 2015,302,1441,322
Q2 2015,304,1490,312
Q3 2015,307,1545,389
Q4 2015,305,1591,400
Q1 2016,310,1654,428.1
Q2 2016,313,1712,455.7
Q3 2016,317,1788,483.3
Q4 2016,318,1860,510.9
Q1 2017,327,1936,386.7
Q2 2017,326,2006,414.3
Q3 2017,330,2072,441.9
Q4 2017,330,2129,593.7
Q1 2018,336,2196,600
Q2 2018,335,2234,682
Q3 2018,326,2271,706.5
Q4 2018,321,2320,766.4
Q1 2019,330,2375,854.5
Q2 2019,330,2414,883.6
Q3 2019,330,2449,913.6
Q4 2019,340,2498,932.7
Q1 2020,326,2603,941.7
Q2 2020,326,2701,970.8
Q3 2020,353,2740,1000
Q4 2020,353,2797,1221
